table_name,column_name,data_type,is_nullable,ordinal_position
catalog,main_category,VARCHAR,YES,1
catalog,study_type,VARCHAR,YES,2
catalog,zone_type,VARCHAR,YES,3
catalog,year,DOUBLE,YES,4
catalog,month,DOUBLE,YES,5
catalog,day,DOUBLE,YES,6
catalog,publication_date,TIMESTAMP_NS,YES,7
catalog,filename,VARCHAR,YES,8
catalog,source_url,VARCHAR,YES,9
districts_info,id_districts,VARCHAR,YES,1
districts_info,name_districts,VARCHAR,YES,2
districts_info,zone_type,VARCHAR,YES,3
districts_info,source,VARCHAR,YES,4
districts_info,source_url,VARCHAR,YES,5
districts_info,ingestion_date,TIMESTAMP WITH TIME ZONE,YES,6
districts_info,publication_date,VARCHAR,YES,7
districts_info,geometry,GEOMETRY,YES,8
districts_info,centroid,GEOMETRY,YES,9
gaus_info,id_gaus,VARCHAR,YES,1
gaus_info,name_gaus,VARCHAR,YES,2
gaus_info,zone_type,VARCHAR,YES,3
gaus_info,source,VARCHAR,YES,4
gaus_info,source_url,VARCHAR,YES,5
gaus_info,ingestion_date,TIMESTAMP WITH TIME ZONE,YES,6
gaus_info,publication_date,VARCHAR,YES,7
gaus_info,geometry,GEOMETRY,YES,8
gaus_info,centroid,GEOMETRY,YES,9
ine_mitma_zones,seccion_ine,VARCHAR,YES,1
ine_mitma_zones,distrito_ine,VARCHAR,YES,2
ine_mitma_zones,municipio_ine,VARCHAR,YES,3
ine_mitma_zones,distrito_mitma,VARCHAR,YES,4
ine_mitma_zones,municipio_mitma,VARCHAR,YES,5
ine_mitma_zones,gau_mitma,VARCHAR,YES,6
ine_mitma_zones,source_url,VARCHAR,YES,7
ine_mitma_zones,ingestion_date,TIMESTAMP WITH TIME ZONE,YES,8
ine_mitma_zones,publication_date,VARCHAR,YES,9
municiples_info,id_municiples,VARCHAR,YES,1
municiples_info,name_municiples,VARCHAR,YES,2
municiples_info,zone_type,VARCHAR,YES,3
municiples_info,source,VARCHAR,YES,4
municiples_info,source_url,VARCHAR,YES,5
municiples_info,ingestion_date,TIMESTAMP WITH TIME ZONE,YES,6
municiples_info,publication_date,VARCHAR,YES,7
municiples_info,geometry,GEOMETRY,YES,8
municiples_info,centroid,GEOMETRY,YES,9
poblacion_total,ine_section,VARCHAR,YES,1
poblacion_total,name,VARCHAR,YES,2
poblacion_total,concept,VARCHAR,YES,3
poblacion_total,source_url,VARCHAR,YES,4
poblacion_total,2021_value,DOUBLE,YES,5
poblacion_total,2022_value,DOUBLE,YES,6
poblacion_total,2023_value,DOUBLE,YES,7
poblacion_total,2024_value,DOUBLE,YES,8
poblacion_total,ingestion_date,TIMESTAMP WITH TIME ZONE,YES,9
renta_media,ine_district,VARCHAR,YES,1
renta_media,name,VARCHAR,YES,2
renta_media,concept,VARCHAR,YES,3
renta_media,source_url,VARCHAR,YES,4
renta_media,2021_value,DOUBLE,YES,5
renta_media,2022_value,DOUBLE,YES,6
renta_media,2023_value,DOUBLE,YES,7
renta_media,ingestion_date,TIMESTAMP WITH TIME ZONE,YES,8
trips,fecha,VARCHAR,YES,1
trips,periodo,VARCHAR,YES,2
trips,origen,VARCHAR,YES,3
trips,destino,VARCHAR,YES,4
trips,distancia,VARCHAR,YES,5
trips,actividad_origen,VARCHAR,YES,6
trips,actividad_destino,VARCHAR,YES,7
trips,estudio_origen_posible,VARCHAR,YES,8
trips,estudio_destino_posible,VARCHAR,YES,9
trips,residencia,VARCHAR,YES,10
trips,renta,VARCHAR,YES,11
trips,edad,VARCHAR,YES,12
trips,sexo,VARCHAR,YES,13
trips,viajes,VARCHAR,YES,14
trips,viajes_km,VARCHAR,YES,15
trips,filename,VARCHAR,YES,16
trips,zone_type,VARCHAR,YES,17
trips,ingestion_date,TIMESTAMP WITH TIME ZONE,YES,18
