table_name,column_name,data_type,is_nullable,ordinal_position
average_rent,ine_district,VARCHAR,YES,1
average_rent,name,VARCHAR,YES,2
average_rent,year,INTEGER,YES,3
average_rent,rent_raw,DOUBLE,YES,4
average_rent,rent,DOUBLE,YES,5
average_rent,is_imputed,BOOLEAN,YES,6
average_rent,pct_change,DOUBLE,YES,7
average_rent,z_score_size,DOUBLE,YES,8
average_rent,is_atypical,BOOLEAN,YES,9
districts_zone,id_zone,VARCHAR,YES,1
districts_zone,name,VARCHAR,YES,2
districts_zone,country_zone,VARCHAR,YES,3
districts_zone,geometry,GEOMETRY,YES,4
districts_zone,centroid,GEOMETRY,YES,5
districts_zone,visual_point,GEOMETRY,YES,6
districts_zone,ingestion_date,TIMESTAMP WITH TIME ZONE,YES,7
gau_id_mapping,mitma_id,VARCHAR,YES,1
gau_id_mapping,internal_id,VARCHAR,YES,2
gaus_zone,id_zone,VARCHAR,YES,1
gaus_zone,name,VARCHAR,YES,2
gaus_zone,country_zone,VARCHAR,YES,3
gaus_zone,geometry,GEOMETRY,YES,4
gaus_zone,centroid,GEOMETRY,YES,5
gaus_zone,visual_point,GEOMETRY,YES,6
gaus_zone,ingestion_date,TIMESTAMP WITH TIME ZONE,YES,7
ine_mitma_zones,sections_ine,VARCHAR,YES,1
ine_mitma_zones,districts_ine,VARCHAR,YES,2
ine_mitma_zones,municiples_ine,VARCHAR,YES,3
ine_mitma_zones,districts_mitma,VARCHAR,YES,4
ine_mitma_zones,municiples_mitma,VARCHAR,YES,5
ine_mitma_zones,gau_mitma,VARCHAR,YES,6
ine_mitma_zones,ingestion_date,TIMESTAMP WITH TIME ZONE,YES,7
od_trips,date,TIMESTAMP,YES,1
od_trips,zone_type,VARCHAR,YES,2
od_trips,id_origin,VARCHAR,YES,3
od_trips,id_destination,VARCHAR,YES,4
od_trips,origin_activity,VARCHAR,YES,5
od_trips,destination_activity,VARCHAR,YES,6
od_trips,distance_group_km,VARCHAR,YES,7
od_trips,residence_province,VARCHAR,YES,8
od_trips,rent_group,VARCHAR,YES,9
od_trips,age_group,VARCHAR,YES,10
od_trips,sex_group,VARCHAR,YES,11
od_trips,n_trips,DOUBLE,YES,12
od_trips,trips_total_length_km,DOUBLE,YES,13
od_trips,origin_activity_std,BOOLEAN,YES,14
od_trips,destination_activity_std,BOOLEAN,YES,15
od_trips,ingestion_date,TIMESTAMP,YES,16
poblacion_total,ine_section,VARCHAR,YES,1
poblacion_total,name,VARCHAR,YES,2
poblacion_total,year,INTEGER,YES,3
poblacion_total,population_raw,DOUBLE,YES,4
poblacion_total,population,DOUBLE,YES,5
poblacion_total,is_imputed,BOOLEAN,YES,6
poblacion_total,pct_change,DOUBLE,YES,7
poblacion_total,z_score_size,DOUBLE,YES,8
poblacion_total,is_atypical,BOOLEAN,YES,9
quality_trips_stats,date,TIMESTAMP,YES,1
quality_trips_stats,zone_type,VARCHAR,YES,2
quality_trips_stats,id_origin,VARCHAR,YES,3
quality_trips_stats,id_destination,VARCHAR,YES,4
quality_trips_stats,distance_group_km,VARCHAR,YES,5
quality_trips_stats,n_trips,DOUBLE,YES,6
quality_trips_stats,trips_total_length_km,DOUBLE,YES,7
quality_trips_stats,avg_km_per_trip,DOUBLE,YES,8
quality_trips_stats,z_n_trips,DOUBLE,YES,9
quality_trips_stats,z_total_km,DOUBLE,YES,10
quality_trips_stats,z_avg_km,DOUBLE,YES,11
quality_trips_stats,quality_flag,VARCHAR,YES,12
quality_trips_stats,ingestion_date,TIMESTAMP,YES,13
renta_media,ine_district,VARCHAR,YES,1
renta_media,name,VARCHAR,YES,2
renta_media,year,INTEGER,YES,3
renta_media,rent_raw,DOUBLE,YES,4
renta_media,rent,DOUBLE,YES,5
renta_media,is_imputed,BOOLEAN,YES,6
renta_media,pct_change,DOUBLE,YES,7
renta_media,z_score_size,DOUBLE,YES,8
renta_media,is_atypical,BOOLEAN,YES,9
spain_population,ine_section,VARCHAR,YES,1
spain_population,name,VARCHAR,YES,2
spain_population,year,INTEGER,YES,3
spain_population,population_raw,DOUBLE,YES,4
spain_population,population,DOUBLE,YES,5
spain_population,is_imputed,BOOLEAN,YES,6
spain_population,pct_change,DOUBLE,YES,7
spain_population,z_score_size,DOUBLE,YES,8
spain_population,is_atypical,BOOLEAN,YES,9
zone_pairs,zone_type,VARCHAR,YES,1
zone_pairs,id_origin,VARCHAR,YES,2
zone_pairs,id_destination,VARCHAR,YES,3
zone_pairs,distance_km,DOUBLE,YES,4
